ImageNumber,ObjectNumber,FileName_Spindle,PathName_Spindle,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_MajorAxisLength,AreaShape_MinorAxisLength,AreaShape_Orientation,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
40,49,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,366,1314.9754098360656,2774.469945355191,83.86589210136617,6.0341952225940805,-79.82983113637339,1314.9754098360656,2774.469945355191,0,49
40,50,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,399,2380.0225563909776,2830.3308270676694,91.78028912982482,5.9641950644252555,3.9839900967488435,2380.0225563909776,2830.3308270676694,0,50
40,51,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,295,1985.4542372881356,3202.8745762711865,74.89453368692901,5.761493283636271,-32.317424102533664,1985.4542372881356,3202.8745762711865,0,51
40,52,AurA_June7_A_5_frontface_z350c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,414,2060.8357487922704,3320.4299516908213,105.91887561589766,5.503225363416437,-59.17488764901145,2060.8357487922704,3320.4299516908213,0,52
41,1,AurA_June7_A_5_frontface_z355c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,308,2134.62012987013,688.3571428571429,74.17367232083332,6.128055213719853,39.52668197079677,2134.62012987013,688.3571428571429,0,1
41,2,AurA_June7_A_5_frontface_z355c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,271,1644.409594095941,741.2730627306273,62.06361408702789,6.307750215079278,83.82159833742048,1644.409594095941,741.2730627306273,0,2
41,3,AurA_June7_A_5_frontface_z355c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,278,1763.0,798.5,64.26093390154924,5.5954760760801765,0.0,1763.0,798.5,0,3
41,4,AurA_June7_A_5_frontface_z355c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,281,2001.9857651245552,789.576512455516,61.7364515478153,7.496697567864159,72.05050501190546,2001.9857651245552,789.576512455516,0,4
41,5,AurA_June7_A_5_frontface_z355c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,274,2366.580291970803,869.6167883211679,64.70201527447742,6.283981410086398,-72.61134458303698,2366.580291970803,869.6167883211679,0,5
41,6,AurA_June7_A_5_frontface_z355c2.jpeg,Z:\Users\Andreas\AurA_MdP_Vectors\AurA_June7_A_5,251,2557.366533864542,900.2430278884462,59.64248821988237,5.681955875905648,73.70824429516006,2557.366533864542,900.2430278884462,0,6
